level of chapter,level,normal words,bonus words,5 coins word,25 coins word
1,1,how - who,,,
2,2,arm - mar - ram,,,
3,3,apt - pat - tap,,,
4,4,art - rat - tar,,,
1,5,dot - lot - old - told,,,
2,6,its - lit - sit - list,,,
3,7,are - ear - era - err - rare - rear,,,
4,8,den - end - led - lend,,,
1,9,dog - god - log - old - gold,,,
2,10,for - fur - our - four,,,
3,11,ate - eat - sat - sea - set - tea - east - seat,,,
4,12,ire - per - pie - rip - pier - ripe,,,
1,13,met - the - meet - them - theme,,,
2,14,ace - ale - sac - sea - case - sale - seal - scale,,,
3,15,bur - bus - hub - rub - sub - bush - rush - brush,,,
4,16,ice - tie - wet - wit - cite - twice,,,
5,17,age - are - ear - era - rag - gear - rage - agree - eager,,,
6,18,fit - his - hit - its - sit - fish - fist - this - shift,,,
7,19,dun - duo - nod - son - sun - undo - sound,,,
8,20,ale - day - dye - lad - lay - deal - lady - lead - delay,,,
1,21,abs - cab - cub - cabs - cubs - scuba,,,
2,22,ore - lose - rose - sole - sore - roles,,,
3,23,con - one - cone - lone - once - clone,,,
4,24,hit - ink - kin - kit - tin - hint - thin - think,,,
5,25,app - lap - pal - pay - play - apply,,,
6,26,ape - ask - sap - sea - spa - peak - peas - peaks - speak,,,
7,27,lid - oil - old - sod - idol - silo - slid - soil - sold - solid,,,
8,28,arc - law - raw - war - claw - crawl,,,
9,29,ion - nap - pan - pin - pain - piano,,,
10,30,arm - mar - ram - saw - was - swam - warm - swarm,,,
11,31,did - ice - dice - iced - diced,,,
12,32,due - dug - led - lug - duel - glue - glued,,,
1,33,hen - net - ten - the - tent - then - tenth,,,
2,34,ant - its - sin - sit - tan - tins - saint - satin - stain,,,
3,35,set - sly - yes - yet - lest - lets - style,,,
4,36,dim - mid - dice - dime - iced - mice - medic,,,
5,37,and - nag - rag - ran - darn - drag - grad - rang - grand,,,
6,38,inn - tin - hint - thin - ninth,,,
7,39,bet - but - rub - rut - tub - true - tube - brute - tuber,,,
8,40,rug - sue - sure - user - surge - urges,,,
9,41,cop - hop - pro - chop - crop - porch,,,
10,42,foe - for - core - fore - force,,,
11,43,aid - and - ran - rid - darn - raid - rain - rind - drain,,,
12,44,elk - lie - lake - leak - like - alike,,,
13,45,due - dug - red - rug - drug - rude - urge - urged,,,
14,46,are - bar - bra - car - ear - era - bare - bear - care - crab - race - brace,,,
15,47,art - rat - sat - saw - tar - was - star - swat - wars - straw,,,
16,48,arm - mar - may - ram - ray - yam - army - marry,,,
1,49,bad - bed - bake - bead - beak - baked,,,
2,50,aye - bay - bye - babe - baby - abbey,,,
3,51,abs - lab - ails - bail - bias - sail - slab - basil,,,
4,52,lie - lane - lean - line - nail - alien,,,
5,53,ban - boa - cab - can - nab - bacon,,,
6,54,gin - ion - now - own - wig - win - won - gown - wing - owing,,,
7,55,gap - hag - par - rap - harp - graph,,,
8,56,ill - ski - kill - silk - skill,,,
9,57,ash - ask - has - hay - say - shy - sky - yak - ashy - shaky,,,
10,58,dog - ego - gel - god - leg - log - old - gold - lode - lodge,,,
11,59,air - arc - rag - rig - cigar,,,
12,60,pet - put - ups - use - pest - step - setup - upset,,,
13,61,eek - see - tee - seek - skeet,,,
14,62,lot - out - lost - lust - slot - soul - lotus,,,
15,63,ale - bam - elm - able - balm - beam - lamb - lame - male - meal - blame,,,
16,64,pic - pie - sip - epic - ices - spice,,,
1,65,ace - ape - cap - pea - cape - pace - peace,,,
2,66,doe - demo - dome - dove - mode - move - moved,,,
3,67,ice - tie - wet - wit - cite - twice,,,
4,68,per - rep - rue - sue - ups - pure - spur - sure - user - purse - super,,,
5,69,how - now - own - who - won - show - snow - shown,,,
6,70,bod - bud - but - dot - dub - duo - out - tub - bout - doubt,,,
7,71,den - dye - end - yen - deny - eyed - need - needy,,,
